"Študenti terciarnega izobraževanja po kohezijski regiji stalnega bivališèa, vrsti programa, naèinu študija in spolu, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"SPOL";"KOHEZIJSKA REGIJA";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19";"2019/20";"2020/21"
"Visokošolsko univerzitetno (prejšnje)";"Redni";"Ženske";"Vzhodna Slovenija";7649;5743;3688;2275;842;145;14;-;-;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Redni";"Ženske";"Zahodna Slovenija";7026;5342;3514;2205;743;160;13;-;-;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Izredni";"Moški";"Vzhodna Slovenija";291;187;158;78;21;-;-;-;-;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Izredni";"Moški";"Zahodna Slovenija";327;198;165;101;38;-;-;-;-;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Izredni";"Ženske";"Vzhodna Slovenija";735;647;350;213;74;3;-;-;-;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Izredni";"Ženske";"Zahodna Slovenija";786;664;391;243;109;4;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"Moški";"Vzhodna Slovenija";206;220;425;556;623;676;664;687;642;600;550;584
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"Moški";"Zahodna Slovenija";283;336;547;651;714;728;748;731;683;635;610;624
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"Ženske";"Vzhodna Slovenija";475;805;903;1082;1277;1409;1450;1441;1446;1387;1379;1438
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"Ženske";"Zahodna Slovenija";534;918;1079;1297;1516;1602;1659;1609;1579;1517;1501;1585
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"Moški";"Vzhodna Slovenija";18;10;9;10;11;14;10;7;10;6;2;2
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"Moški";"Zahodna Slovenija";41;22;31;33;28;23;12;14;24;16;9;10
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"Ženske";"Vzhodna Slovenija";10;15;21;8;11;9;3;8;15;12;2;5
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"Ženske";"Zahodna Slovenija";52;40;52;48;34;23;12;12;22;19;4;4
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"Moški";"Vzhodna Slovenija";680;1138;1800;2425;2661;2861;2862;2763;2624;2507;2475;2656
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"Moški";"Zahodna Slovenija";768;1079;1555;2006;2385;2608;2647;2679;2614;2467;2481;2732
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"Ženske";"Vzhodna Slovenija";1471;2273;3063;3883;4624;5043;4826;4660;4434;4259;4022;4236
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"Ženske";"Zahodna Slovenija";1239;2125;2807;3562;4111;4560;4552;4439;4268;3985;3969;4445
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"Moški";"Vzhodna Slovenija";424;420;397;359;308;292;301;294;323;280;288;313
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"Moški";"Zahodna Slovenija";462;421;364;321;285;244;234;291;337;293;326;366
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"Ženske";"Vzhodna Slovenija";716;705;665;649;677;573;553;591;631;642;693;732
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"Ženske";"Zahodna Slovenija";659;694;718;707;613;513;417;491;586;604;620;678
"Specialistièno";"Redni";"Moški";"Vzhodna Slovenija";9;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Redni";"Moški";"Zahodna Slovenija";16;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Redni";"Ženske";"Vzhodna Slovenija";3;-;-;-;-;-;-;-;-;-;-;-
