"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"02 Umetnost in humanistika";34.0;6.0;28.0;47.0;6.0;41.0;50.0;5.0;45.0;66.0;12.0;54.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";101.0;31.0;70.0;99.0;23.0;76.0;91.0;16.0;75.0;138.0;30.0;108.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"04 Poslovne in upravne vede, pravo";951.0;445.0;506.0;963.0;427.0;536.0;1072.0;475.0;597.0;1238.0;528.0;710.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"05 Naravoslovje, matematika in statistika";28.0;14.0;14.0;32.0;19.0;13.0;23.0;12.0;11.0;13.0;8.0;5.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";-;-;-;-;-;-;-;-;-;4.0;3.0;1.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";116.0;80.0;36.0;105.0;65.0;40.0;140.0;96.0;44.0;163.0;123.0;40.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"09 Zdravstvo in socialna varnost";215.0;37.0;178.0;225.0;39.0;186.0;251.0;45.0;206.0;322.0;56.0;266.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";107.0;47.0;60.0;126.0;56.0;70.0;90.0;35.0;55.0;112.0;64.0;48.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"Podroèje izobraževanja - SKUPAJ";674.0;347.0;327.0;666.0;335.0;331.0;646.0;330.0;316.0;636.0;326.0;310.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";2.0;1.0;1.0;5.0;3.0;2.0;-;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";"Redni";"02 Umetnost in humanistika";95.0;32.0;63.0;105.0;26.0;79.0;111.0;37.0;74.0;97.0;33.0;64.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";90.0;46.0;44.0;99.0;50.0;49.0;103.0;49.0;54.0;108.0;52.0;56.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"04 Poslovne in upravne vede, pravo";115.0;35.0;80.0;115.0;44.0;71.0;90.0;33.0;57.0;78.0;26.0;52.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"05 Naravoslovje, matematika in statistika";82.0;40.0;42.0;58.0;30.0;28.0;45.0;22.0;23.0;48.0;23.0;25.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";46.0;34.0;12.0;43.0;34.0;9.0;51.0;39.0;12.0;45.0;30.0;15.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";244.0;159.0;85.0;241.0;148.0;93.0;244.0;150.0;94.0;259.0;161.0;98.0
"Doktorsko (3. bolonjska stopnja)";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";-;-;-;-;-;-;-;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";"Redni";"09 Zdravstvo in socialna varnost";-;-;-;-;-;-;-;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";-;-;-;-;-;-;2.0;-;2.0;1.0;1.0;-
"Doktorsko (3. bolonjska stopnja)";"Izredni";"Podroèje izobraževanja - SKUPAJ";2150.0;957.0;1193.0;2423.0;1087.0;1336.0;2660.0;1186.0;1474.0;2873.0;1276.0;1597.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";136.0;30.0;106.0;156.0;38.0;118.0;155.0;32.0;123.0;185.0;42.0;143.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"02 Umetnost in humanistika";427.0;153.0;274.0;509.0;185.0;324.0;501.0;189.0;312.0;316.0;118.0;198.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";68.0;35.0;33.0;76.0;26.0;50.0;102.0;36.0;66.0;332.0;134.0;198.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"04 Poslovne in upravne vede, pravo";217.0;114.0;103.0;199.0;109.0;90.0;236.0;128.0;108.0;249.0;124.0;125.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"05 Naravoslovje, matematika in statistika";380.0;184.0;196.0;412.0;210.0;202.0;451.0;221.0;230.0;483.0;228.0;255.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";62.0;54.0;8.0;66.0;55.0;11.0;75.0;59.0;16.0;71.0;53.0;18.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";268.0;188.0;80.0;307.0;204.0;103.0;335.0;220.0;115.0;355.0;234.0;121.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";14.0;4.0;10.0;19.0;7.0;12.0;13.0;3.0;10.0;17.0;8.0;9.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"09 Zdravstvo in socialna varnost";534.0;175.0;359.0;626.0;225.0;401.0;691.0;247.0;444.0;772.0;291.0;481.0
"Doktorsko (3. bolonjska stopnja)";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";44.0;20.0;24.0;53.0;28.0;25.0;101.0;51.0;50.0;93.0;44.0;49.0
