"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Višje strokovno";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Redni";"02 Umetnost in humanistika";464.0;284.0;180.0;466.0;288.0;178.0;476.0;279.0;197.0;455.0;256.0;199.0
"Višje strokovno";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Redni";"04 Poslovne in upravne vede, pravo";671.0;191.0;480.0;585.0;176.0;409.0;567.0;196.0;371.0;557.0;187.0;370.0
"Višje strokovno";"Redni";"05 Naravoslovje, matematika in statistika";137.0;54.0;83.0;132.0;57.0;75.0;111.0;60.0;51.0;108.0;53.0;55.0
"Višje strokovno";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";511.0;463.0;48.0;495.0;458.0;37.0;503.0;458.0;45.0;517.0;477.0;40.0
"Višje strokovno";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";2247.0;1849.0;398.0;2238.0;1891.0;347.0;2171.0;1832.0;339.0;2136.0;1821.0;315.0
"Višje strokovno";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";337.0;175.0;162.0;275.0;146.0;129.0;282.0;137.0;145.0;290.0;147.0;143.0
"Višje strokovno";"Redni";"09 Zdravstvo in socialna varnost";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";1597.0;674.0;923.0;1516.0;630.0;886.0;1430.0;607.0;823.0;1488.0;678.0;810.0
"Višje strokovno";"Izredni";"Podroèje izobraževanja - SKUPAJ";4389.0;2529.0;1860.0;4859.0;2849.0;2010.0;5122.0;2987.0;2135.0;5013.0;2880.0;2133.0
"Višje strokovno";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Izredni";"02 Umetnost in humanistika";170.0;100.0;70.0;208.0;109.0;99.0;270.0;139.0;131.0;328.0;184.0;144.0
"Višje strokovno";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";-;-;-;-;-;-;-;-;-;-;-;-
"Višje strokovno";"Izredni";"04 Poslovne in upravne vede, pravo";925.0;287.0;638.0;1062.0;335.0;727.0;1075.0;325.0;750.0;1036.0;302.0;734.0
"Višje strokovno";"Izredni";"05 Naravoslovje, matematika in statistika";14.0;6.0;8.0;17.0;6.0;11.0;25.0;13.0;12.0;14.0;5.0;9.0
