"Diplomanti terciarnega izobraževanja po vrsti izobraževanja in obèini stalnega prebivališèa, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"OBÈINE";"2009 Število diplomantov";"2010 Število diplomantov";"2011 Število diplomantov";"2012 Število diplomantov";"2013 Število diplomantov";"2014 Število diplomantov";"2015 Število diplomantov";"2016 Število diplomantov";"2017 Število diplomantov";"2018 Število diplomantov";"2019 Število diplomantov";"2020 Število diplomantov"
"Višje strokovno";"Ajdovšèina";19;25;26;26;24;13;19;10;15;11;15;13
"Višje strokovno";"Ankaran/Ancarano";-;-;-;-;-;-;2;-;-;1;1;-
"Višje strokovno";"Apaèe";6;4;9;9;6;1;4;2;3;4;2;1
"Višje strokovno";"Beltinci";11;15;29;14;9;6;5;7;8;6;10;15
"Višje strokovno";"Benedikt";3;4;5;4;6;3;2;1;6;-;6;4
"Višje strokovno";"Bistrica ob Sotli";1;2;4;4;1;3;1;-;-;-;1;2
"Višje strokovno";"Bled";19;12;19;22;9;7;6;10;6;8;10;10
"Višje strokovno";"Bloke";2;3;4;2;1;-;4;1;2;1;1;-
"Višje strokovno";"Bohinj";8;7;12;7;9;9;8;1;5;9;7;4
"Višje strokovno";"Borovnica";12;8;12;5;5;3;2;3;6;4;7;4
"Višje strokovno";"Bovec";6;4;1;9;6;1;1;5;1;2;1;2
"Višje strokovno";"Braslovèe";10;9;13;8;4;5;2;5;4;5;5;12
"Višje strokovno";"Brda";6;3;11;5;5;11;2;-;2;2;3;2
"Višje strokovno";"Brezovica";24;24;28;27;16;13;13;11;12;5;17;18
"Višje strokovno";"Brežice";39;40;40;41;35;30;21;25;24;20;30;16
"Višje strokovno";"Cankova";1;4;4;3;2;3;4;-;1;1;-;3
"Višje strokovno";"Celje";74;89;110;63;43;50;41;44;42;32;38;41
"Višje strokovno";"Cerklje na Gorenjskem";14;13;20;19;12;11;14;9;9;16;21;10
"Višje strokovno";"Cerknica";13;25;28;17;13;18;9;10;9;14;12;12
"Višje strokovno";"Cerkno";5;8;9;8;4;8;3;1;3;7;2;4
"Višje strokovno";"Cerkvenjak";4;2;4;5;2;2;5;2;2;4;2;2
"Višje strokovno";"Cirkulane";1;10;6;3;2;4;2;2;3;2;3;3
"Višje strokovno";"Èrenšovci";8;6;12;4;2;1;5;5;4;7;-;3
"Višje strokovno";"Èrna na Koroškem";5;9;4;3;3;6;4;1;5;2;2;4
"Višje strokovno";"Èrnomelj";21;28;20;20;22;17;16;6;13;12;12;7
"Višje strokovno";"Destrnik";1;6;6;6;2;6;2;6;3;5;2;6
"Višje strokovno";"Divaèa";6;1;9;2;8;2;2;2;6;4;4;2
"Višje strokovno";"Dobje";4;2;2;1;2;1;1;1;2;2;-;3
"Višje strokovno";"Dobrepolje";9;7;3;4;4;5;2;3;4;5;4;6
"Višje strokovno";"Dobrna";9;6;4;6;2;3;1;5;3;4;3;3
"Višje strokovno";"Dobrova - Polhov Gradec";9;16;25;13;6;8;13;7;1;7;5;9
"Višje strokovno";"Dobrovnik/Dobronak";-;3;1;3;2;1;-;-;1;1;-;1
"Višje strokovno";"Dol pri Ljubljani";7;9;14;8;8;15;5;3;7;5;10;5
"Višje strokovno";"Dolenjske Toplice";7;6;9;3;13;2;2;7;3;3;7;4
"Višje strokovno";"Domžale";37;75;85;52;47;46;32;30;20;29;30;31
"Višje strokovno";"Dornava";7;4;10;5;1;5;-;2;3;3;4;2
"Višje strokovno";"Dravograd";23;21;26;23;11;14;7;13;13;12;12;13
"Višje strokovno";"Duplek";14;10;23;13;11;8;8;5;5;8;10;9
"Višje strokovno";"Gorenja vas - Poljane";9;14;17;14;15;4;3;5;7;7;9;11
"Višje strokovno";"Gorišnica";8;6;9;12;6;6;9;5;4;10;5;2
"Višje strokovno";"Gorje";6;4;7;10;1;4;4;2;3;2;2;3
"Višje strokovno";"Gornja Radgona";18;17;19;15;7;14;7;9;15;10;7;9
"Višje strokovno";"Gornji Grad";3;3;2;5;3;6;3;4;5;3;1;4
"Višje strokovno";"Gornji Petrovci";3;5;6;1;2;-;1;-;2;3;1;2
"Višje strokovno";"Grad";1;2;12;5;-;-;1;3;4;5;3;1
"Višje strokovno";"Grosuplje";35;41;43;27;27;15;13;17;16;22;19;14
"Višje strokovno";"Hajdina";3;9;12;8;4;6;4;1;3;4;11;4
"Višje strokovno";"Hoèe - Slivnica";15;15;25;25;12;13;6;11;8;9;12;19
"Višje strokovno";"Hodoš/Hodos";-;-;2;-;-;-;-;1;-;-;-;-
"Višje strokovno";"Horjul";6;6;7;4;3;6;1;-;2;1;3;2
"Višje strokovno";"Hrastnik";32;32;31;15;12;7;4;5;9;11;5;17
"Višje strokovno";"Hrpelje - Kozina";2;7;6;6;5;1;3;1;2;3;4;5
"Višje strokovno";"Idrija";18;16;20;24;11;9;18;7;6;11;7;3
"Višje strokovno";"Ig";8;14;16;6;14;15;3;3;5;7;3;3
"Višje strokovno";"Ilirska Bistrica";16;17;24;25;13;15;17;9;16;10;12;9
"Višje strokovno";"Ivanèna Gorica";28;38;39;40;23;35;15;16;29;25;19;17
"Višje strokovno";"Izola/Isola";11;11;21;8;7;8;3;6;11;9;7;5
"Višje strokovno";"Jesenice";26;37;63;50;15;25;14;17;21;17;19;21
"Višje strokovno";"Jezersko";2;2;3;2;3;-;-;-;-;2;-;-
"Višje strokovno";"Juršinci";2;3;3;4;7;3;4;5;1;3;7;5
"Višje strokovno";"Kamnik";51;67;67;45;35;33;22;20;22;21;27;31
"Višje strokovno";"Kanal";3;6;11;3;5;3;5;3;3;3;5;4
"Višje strokovno";"Kidrièevo";15;23;12;14;9;8;7;9;10;8;12;1
"Višje strokovno";"Kobarid";7;5;5;8;2;2;4;3;3;6;4;1
"Višje strokovno";"Kobilje";1;3;-;-;-;1;1;3;-;-;-;3
"Višje strokovno";"Koèevje";22;28;34;25;15;15;17;11;18;11;15;10
"Višje strokovno";"Komen";8;4;5;3;8;-;3;2;2;4;4;2
"Višje strokovno";"Komenda";10;5;15;5;5;3;4;4;5;5;3;12
"Višje strokovno";"Koper/Capodistria";53;57;83;64;39;42;18;21;32;25;19;36
"Višje strokovno";"Kostanjevica na Krki";2;1;3;4;2;4;2;2;1;1;2;3
"Višje strokovno";"Kostel";-;-;2;-;-;-;1;2;-;-;2;1
"Višje strokovno";"Kozje";10;4;8;8;3;4;6;5;4;3;5;4
"Višje strokovno";"Kranj";90;87;165;126;79;66;52;57;56;62;66;48
"Višje strokovno";"Kranjska Gora";10;13;21;9;4;8;10;7;4;3;8;3
"Višje strokovno";"Križevci";5;7;11;7;3;2;1;4;2;7;5;1
"Višje strokovno";"Krško";32;41;79;47;27;32;20;14;24;26;24;23
"Višje strokovno";"Kungota";5;6;8;12;6;4;3;7;7;3;8;7
"Višje strokovno";"Kuzma";1;1;10;3;2;1;-;1;-;1;2;3
"Višje strokovno";"Laško";33;25;30;27;13;16;15;15;15;12;12;18
"Višje strokovno";"Lenart";11;15;10;17;7;5;12;4;5;9;11;14
"Višje strokovno";"Lendava/Lendva";16;25;31;21;10;7;9;10;5;12;6;7
"Višje strokovno";"Litija";24;21;38;38;34;19;6;26;14;15;19;14
"Višje strokovno";"Ljubljana";316;418;549;368;264;245;183;172;159;191;197;162
"Višje strokovno";"Ljubno";1;8;10;5;7;1;2;4;8;7;1;1
"Višje strokovno";"Ljutomer";15;20;28;25;9;4;16;11;8;10;12;12
"Višje strokovno";"Log - Dragomer";7;4;9;1;1;4;1;3;1;3;1;4
"Višje strokovno";"Logatec";20;21;32;21;13;9;14;9;17;22;10;15
"Višje strokovno";"Loška dolina";10;4;10;14;1;4;3;5;7;2;6;2
"Višje strokovno";"Loški Potok";-;1;2;2;-;-;3;2;1;4;1;-
"Višje strokovno";"Lovrenc na Pohorju";9;4;5;5;5;3;4;4;3;3;1;3
"Višje strokovno";"Luèe";4;5;4;5;3;2;2;3;4;1;3;1
"Višje strokovno";"Lukovica";8;18;27;10;8;6;5;6;4;11;3;10
"Višje strokovno";"Majšperk";4;11;9;14;10;6;7;6;4;9;6;8
"Višje strokovno";"Makole";5;3;4;2;4;-;1;4;4;4;2;3
"Višje strokovno";"Maribor";174;199;234;262;138;83;74;85;99;95;106;91
"Višje strokovno";"Markovci";9;8;11;8;7;8;7;4;4;8;9;4
"Višje strokovno";"Medvode";28;24;38;32;10;20;18;8;11;21;19;16
"Višje strokovno";"Mengeš";12;19;24;16;13;14;6;3;6;14;9;9
"Višje strokovno";"Metlika";8;14;25;12;7;11;7;10;11;13;12;10
"Višje strokovno";"Mežica";8;4;10;7;4;-;2;4;4;3;4;10
"Višje strokovno";"Miklavž na Dravskem polju";16;17;11;14;7;6;3;4;8;8;6;5
"Višje strokovno";"Miren - Kostanjevica";13;6;11;4;6;3;2;4;3;1;3;3
"Višje strokovno";"Mirna";-;-;-;2;2;4;4;5;-;3;2;1
"Višje strokovno";"Mirna Peè";4;6;7;7;4;7;3;4;3;2;4;4
"Višje strokovno";"Mislinja";21;11;10;15;12;6;6;9;6;3;11;11
"Višje strokovno";"Mokronog - Trebelno";9;4;4;5;5;4;2;3;3;6;6;4
"Višje strokovno";"Moravèe";12;11;14;8;9;3;7;4;3;6;6;9
"Višje strokovno";"Moravske Toplice";14;14;25;12;7;5;2;3;8;3;9;5
"Višje strokovno";"Mozirje";11;8;11;11;3;5;5;5;3;8;6;9
"Višje strokovno";"Murska Sobota";30;36;72;32;20;19;22;13;18;17;15;21
"Višje strokovno";"Muta";13;4;7;9;4;6;4;3;3;5;5;2
"Višje strokovno";"Naklo";9;13;16;17;10;11;5;8;4;14;7;8
"Višje strokovno";"Nazarje";7;4;9;3;7;2;-;5;4;5;2;1
"Višje strokovno";"Nova Gorica";46;48;70;28;25;27;25;22;18;15;20;18
"Višje strokovno";"Novo mesto";56;53;64;59;56;50;30;38;32;34;42;33
"Višje strokovno";"Odranci";2;7;7;2;5;1;2;-;3;5;1;2
"Višje strokovno";"Oplotnica";12;3;15;11;5;4;8;3;4;4;10;2
"Višje strokovno";"Ormož";13;22;32;13;18;19;17;17;11;14;23;10
"Višje strokovno";"Osilnica";1;-;-;-;-;-;1;-;1;-;1;-
"Višje strokovno";"Pesnica";11;5;13;21;7;7;7;7;5;5;8;3
"Višje strokovno";"Piran/Pirano";17;18;25;16;10;13;4;3;6;8;6;5
"Višje strokovno";"Pivka";10;12;13;15;9;7;6;5;5;4;8;8
"Višje strokovno";"Podèetrtek";1;12;10;5;6;5;1;4;1;2;6;-
"Višje strokovno";"Podlehnik";4;2;6;6;2;2;2;4;3;1;2;2
"Višje strokovno";"Podvelka";2;5;5;7;3;4;2;3;4;2;5;4
"Višje strokovno";"Poljèane";4;4;8;7;5;2;4;4;4;8;9;4
"Višje strokovno";"Polzela";9;14;16;14;9;9;3;8;5;6;9;3
"Višje strokovno";"Postojna";18;39;48;38;12;17;15;18;22;17;19;15
"Višje strokovno";"Prebold";9;11;12;5;6;7;7;6;7;5;14;1
"Višje strokovno";"Preddvor";5;4;8;11;7;5;1;6;6;3;8;4
"Višje strokovno";"Prevalje";13;17;22;23;6;11;11;6;4;9;8;10
"Višje strokovno";"Ptuj";51;56;52;66;28;26;18;21;19;31;27;22
"Višje strokovno";"Puconci";11;15;15;8;12;8;5;9;4;6;8;4
"Višje strokovno";"Raèe - Fram";18;16;19;23;8;11;8;9;5;10;8;11
"Višje strokovno";"Radeèe";8;7;10;7;8;2;3;6;2;6;6;1
"Višje strokovno";"Radenci";7;7;13;7;5;4;6;4;7;6;3;4
"Višje strokovno";"Radlje ob Dravi";17;15;17;15;3;4;9;12;7;4;11;4
"Višje strokovno";"Radovljica";21;26;49;48;9;21;9;27;18;11;12;18
"Višje strokovno";"Ravne na Koroškem";20;26;35;35;19;10;12;6;11;8;11;19
"Višje strokovno";"Razkrižje";1;2;3;5;1;-;5;2;-;3;3;4
"Višje strokovno";"Reèica ob Savinji";3;4;6;4;5;2;2;2;-;4;8;3
"Višje strokovno";"Renèe - Vogrsko";9;7;11;4;3;4;6;2;2;3;1;4
"Višje strokovno";"Ribnica";10;18;13;14;10;8;11;12;8;6;7;11
"Višje strokovno";"Ribnica na Pohorju";-;3;-;-;1;1;2;1;1;1;1;-
"Višje strokovno";"Rogaška Slatina";21;16;49;21;10;13;18;13;13;11;10;7
"Višje strokovno";"Rogašovci";1;4;5;4;2;2;6;2;3;2;1;5
"Višje strokovno";"Rogatec";6;5;10;4;3;4;2;4;4;6;3;2
"Višje strokovno";"Ruše";13;20;11;17;10;7;9;5;12;8;8;12
"Višje strokovno";"Selnica ob Dravi";8;7;11;11;5;4;4;6;5;3;8;5
"Višje strokovno";"Semiè";3;11;11;6;13;5;7;3;3;2;7;2
"Višje strokovno";"Sevnica";25;24;42;29;18;19;11;22;22;22;24;33
"Višje strokovno";"Sežana";14;21;26;21;9;18;11;5;5;9;10;6
"Višje strokovno";"Slovenj Gradec";44;45;62;57;29;29;14;22;25;26;26;41
"Višje strokovno";"Slovenska Bistrica";47;54;60;67;34;23;25;28;30;30;32;28
"Višje strokovno";"Slovenske Konjice";22;35;42;32;17;13;9;18;17;19;13;18
"Višje strokovno";"Sodražica";5;1;3;1;2;2;1;1;-;3;3;1
"Višje strokovno";"Solèava";-;2;1;3;1;-;-;-;1;2;2;2
"Višje strokovno";"Središèe ob Dravi";3;3;8;4;2;1;3;2;6;2;6;6
"Višje strokovno";"Starše";7;4;12;11;8;2;7;5;5;5;2;7
"Višje strokovno";"Straža";5;5;16;2;4;5;2;4;6;1;5;3
"Višje strokovno";"Sveta Ana";3;3;3;5;2;1;2;1;3;4;2;3
"Višje strokovno";"Sveta Trojica v Slov. goricah";2;4;4;2;1;2;-;2;5;6;2;6
"Višje strokovno";"Sveti Andraž v Slov. goricah";1;3;2;2;-;-;4;1;3;3;3;1
"Višje strokovno";"Sveti Jurij ob Šèavnici";4;2;9;4;2;2;1;2;5;5;4;3
"Višje strokovno";"Sveti Jurij v Slov. goricah";1;3;2;2;5;2;2;2;1;1;2;6
"Višje strokovno";"Sveti Tomaž";2;1;5;1;3;4;3;4;2;1;1;4
"Višje strokovno";"Šalovci";2;2;7;2;2;3;2;2;3;2;1;2
"Višje strokovno";"Šempeter - Vrtojba";9;9;9;5;12;16;2;5;8;4;2;5
"Višje strokovno";"Šenèur";9;27;25;10;8;7;11;14;12;9;11;6
"Višje strokovno";"Šentilj";11;21;18;19;7;8;5;6;7;5;14;12
"Višje strokovno";"Šentjernej";14;16;15;11;2;8;13;10;7;10;5;8
"Višje strokovno";"Šentjur";42;40;63;48;26;31;20;20;24;25;23;21
"Višje strokovno";"Šentrupert";5;6;4;2;2;2;3;2;2;5;4;-
"Višje strokovno";"Škocjan";4;9;3;2;4;2;4;3;5;5;2;4
"Višje strokovno";"Škofja Loka";37;32;71;43;27;27;23;25;21;27;26;24
"Višje strokovno";"Škofljica";20;27;16;17;11;13;10;7;16;11;18;7
"Višje strokovno";"Šmarje pri Jelšah";24;22;23;19;11;15;13;9;15;15;13;6
"Višje strokovno";"Šmarješke Toplice";4;6;4;3;3;1;3;3;3;4;1;8
"Višje strokovno";"Šmartno ob Paki";4;13;10;11;3;4;3;3;3;4;2;4
"Višje strokovno";"Šmartno pri Litiji";4;9;15;12;11;6;2;3;5;5;10;7
"Višje strokovno";"Šoštanj";17;21;30;20;18;9;6;14;11;10;12;8
"Višje strokovno";"Štore";13;14;8;8;2;5;3;5;3;4;4;2
"Višje strokovno";"Tabor";5;4;-;8;1;2;1;4;1;-;2;2
"Višje strokovno";"Tišina";5;12;16;6;6;3;1;3;2;2;7;8
"Višje strokovno";"Tolmin";14;14;22;7;9;8;9;6;7;11;5;8
"Višje strokovno";"Trbovlje";34;38;36;35;12;26;20;31;12;19;10;18
"Višje strokovno";"Trebnje";9;21;33;20;12;10;15;13;16;15;14;12
"Višje strokovno";"Trnovska vas";-;4;4;1;3;1;2;-;2;-;1;2
"Višje strokovno";"Trzin";5;5;11;6;2;1;3;5;1;2;2;4
"Višje strokovno";"Tržiè";24;25;46;34;20;25;14;12;17;22;13;19
"Višje strokovno";"Turnišèe";4;3;6;5;1;2;3;3;6;4;1;6
"Višje strokovno";"Velenje";80;76;92;91;50;49;35;41;32;33;31;38
"Višje strokovno";"Velika Polana";3;1;3;3;1;3;1;2;-;-;-;3
"Višje strokovno";"Velike Lašèe";10;10;9;9;8;4;3;7;6;4;8;5
"Višje strokovno";"Veržej";3;3;2;-;2;2;2;1;1;1;3;-
"Višje strokovno";"Videm";8;7;15;11;8;6;9;10;10;7;10;11
"Višje strokovno";"Vipava";10;8;10;6;5;8;6;5;8;3;5;4
"Višje strokovno";"Vitanje";4;6;8;9;-;7;1;-;3;4;4;4
"Višje strokovno";"Vodice";7;4;21;7;6;10;5;5;6;6;7;13
"Višje strokovno";"Vojnik";15;14;16;20;11;8;11;9;20;14;10;5
"Višje strokovno";"Vransko";6;4;6;4;2;2;8;2;2;2;6;5
"Višje strokovno";"Vrhnika";26;29;42;32;20;18;19;14;15;17;17;15
"Višje strokovno";"Vuzenica";9;6;4;3;2;5;-;4;4;-;3;1
"Višje strokovno";"Zagorje ob Savi";22;54;40;34;19;18;11;12;15;22;26;29
"Višje strokovno";"Zavrè";-;1;4;3;2;4;2;3;1;3;3;-
"Višje strokovno";"Zreèe";14;25;24;12;6;8;7;3;11;12;13;3
"Višje strokovno";"Žalec";35;42;42;27;18;14;11;11;22;15;16;19
"Višje strokovno";"Železniki";15;13;32;22;9;12;6;12;5;11;5;10
"Višje strokovno";"Žetale";2;6;4;5;4;3;1;3;2;1;-;2
"Višje strokovno";"Žiri";11;7;3;3;5;4;5;9;2;-;4;5
"Višje strokovno";"Žirovnica";8;9;6;10;6;6;2;6;1;1;3;8
"Višje strokovno";"Žužemberk";6;8;19;13;5;6;3;5;4;6;9;6
"Višje strokovno";"Stalno bivališèe neznano ali v tujini";8;11;14;4;6;4;21;26;27;22;31;29
"Visokošolsko strokovno (prejšnje)";"Ajdovšèina";47;37;43;36;21;9;3;52;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ankaran/Ancarano";-;-;-;-;-;-;-;11;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Apaèe";5;2;5;4;1;-;-;3;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Beltinci";18;12;21;10;5;3;1;16;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Benedikt";1;5;2;2;2;1;-;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Bistrica ob Sotli";5;5;4;2;-;-;1;5;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Bled";19;12;9;11;2;1;4;15;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Bloke";7;4;5;6;2;-;1;2;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Bohinj";7;7;6;3;2;1;1;14;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Borovnica";10;8;7;4;1;2;1;7;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Bovec";4;4;8;2;2;1;2;7;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Braslovèe";11;12;8;9;7;3;1;12;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Brda";11;12;9;7;5;3;4;13;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Brezovica";35;15;18;13;11;6;4;29;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Brežice";76;56;30;24;16;8;4;36;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cankova";5;8;1;4;2;-;-;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Celje";141;132;79;52;31;14;12;133;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cerklje na Gorenjskem";24;18;10;8;4;3;3;18;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cerknica";36;25;12;15;13;1;2;29;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cerkno";15;14;12;11;5;2;3;12;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cerkvenjak";4;4;1;2;-;1;-;2;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Cirkulane";6;6;1;3;-;-;1;2;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Èrenšovci";8;12;13;7;2;4;2;9;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Èrna na Koroškem";13;9;4;5;2;1;-;6;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Èrnomelj";38;44;27;22;16;11;5;30;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Destrnik";5;2;1;3;1;1;1;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Divaèa";8;11;6;5;5;3;-;12;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dobje";4;4;2;-;1;1;-;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dobrepolje";7;7;16;6;3;-;2;9;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dobrna";9;4;3;3;-;-;1;5;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dobrova - Polhov Gradec";14;18;11;7;6;4;2;17;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dobrovnik/Dobronak";2;1;5;2;2;1;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dol pri Ljubljani";16;8;6;7;5;5;2;15;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dolenjske Toplice";15;16;2;8;2;-;-;12;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Domžale";82;73;46;42;26;13;10;84;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dornava";7;6;-;4;5;-;3;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Dravograd";17;25;18;13;7;6;-;17;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Duplek";12;14;4;9;3;2;1;14;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gorenja vas - Poljane";19;20;17;15;4;4;4;22;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gorišnica";7;10;8;6;2;2;-;14;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gorje";3;2;9;3;3;1;-;9;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gornja Radgona";18;19;12;10;8;1;2;15;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gornji Grad";5;7;11;2;5;6;-;7;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Gornji Petrovci";3;7;2;3;3;-;-;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Grad";5;5;4;2;1;1;-;2;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Grosuplje";53;50;27;31;4;9;3;58;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Hajdina";9;12;8;7;2;-;2;10;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Hoèe - Slivnica";21;13;15;7;5;3;1;20;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Hodoš/Hodos";-;2;-;-;-;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Horjul";9;6;8;5;5;1;2;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Hrastnik";26;19;10;13;6;2;3;16;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Hrpelje - Kozina";11;12;7;5;3;2;3;10;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Idrija";33;22;19;25;7;8;7;32;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ig";13;11;23;11;3;2;5;25;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ilirska Bistrica";37;36;33;15;6;4;5;27;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ivanèna Gorica";45;33;15;25;9;11;6;40;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izola/Isola";28;27;17;21;14;7;8;31;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Jesenice";48;40;28;13;7;5;3;24;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Jezersko";1;-;2;1;-;-;-;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Juršinci";7;2;5;3;2;1;2;5;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kamnik";67;58;38;37;21;14;11;69;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kanal";7;14;12;12;4;6;1;15;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kidrièevo";6;12;9;10;6;6;1;14;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kobarid";7;19;13;8;6;7;-;19;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kobilje";5;2;3;-;-;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Koèevje";56;30;23;18;12;6;13;28;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Komen";7;7;8;6;4;2;1;10;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Komenda";8;12;8;9;6;1;1;18;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Koper/Capodistria";114;80;63;53;35;22;11;115;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kostanjevica na Krki";8;2;1;1;2;1;1;5;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kostel";4;3;2;1;-;-;1;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kozje";9;6;6;8;3;1;1;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kranj";147;75;91;45;41;20;15;132;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kranjska Gora";9;16;6;8;4;2;1;8;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Križevci";5;13;5;3;4;-;1;8;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Krško";61;54;37;37;25;10;8;57;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kungota";8;6;4;4;1;4;-;9;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Kuzma";2;-;2;-;-;-;-;3;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Laško";32;32;26;18;11;13;6;17;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Lenart";17;16;20;12;3;4;2;23;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Lendava/Lendva";20;19;13;13;2;4;3;26;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Litija";21;37;19;22;12;9;4;34;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ljubljana";531;459;295;244;123;115;75;655;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ljubno";6;7;3;10;2;1;1;7;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Ljutomer";26;28;30;12;6;4;3;14;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Log - Dragomer";12;10;2;5;-;-;-;10;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Logatec";29;34;26;18;11;8;8;23;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Loška dolina";10;11;6;6;1;1;2;5;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Loški Potok";1;5;2;4;1;1;-;1;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Lovrenc na Pohorju";7;9;5;8;-;-;1;4;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Luèe";3;5;3;5;-;-;-;3;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Lukovica";11;6;10;10;2;6;4;16;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Majšperk";13;8;12;16;3;5;2;8;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Makole";5;4;5;4;1;2;1;2;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Maribor";188;152;145;79;48;36;37;186;-;-;-;-
