"Prebivalstvo po starosti in spolu, statistiène regije, Slovenija, polletno"

"SPOL";"STAROST";"2009H1 SLOVENIJA";"2009H1 Pomurska";"2009H1 Podravska";"2009H1 Koroška";"2009H1 Savinjska";"2009H1 Zasavska";"2009H1 Posavska";"2009H1 Jugovzhodna Slovenija";"2009H1 Osrednjeslovenska";"2009H1 Gorenjska";"2009H1 Primorsko-notranjska";"2009H1 Goriška";"2009H1 Obalno-kraška";"2009H2 SLOVENIJA";"2009H2 Pomurska";"2009H2 Podravska";"2009H2 Koroška";"2009H2 Savinjska";"2009H2 Zasavska";"2009H2 Posavska";"2009H2 Jugovzhodna Slovenija";"2009H2 Osrednjeslovenska";"2009H2 Gorenjska";"2009H2 Primorsko-notranjska";"2009H2 Goriška";"2009H2 Obalno-kraška";"2010H1 SLOVENIJA";"2010H1 Pomurska";"2010H1 Podravska";"2010H1 Koroška";"2010H1 Savinjska";"2010H1 Zasavska";"2010H1 Posavska";"2010H1 Jugovzhodna Slovenija";"2010H1 Osrednjeslovenska";"2010H1 Gorenjska";"2010H1 Primorsko-notranjska";"2010H1 Goriška";"2010H1 Obalno-kraška";"2010H2 SLOVENIJA";"2010H2 Pomurska";"2010H2 Podravska";"2010H2 Koroška";"2010H2 Savinjska";"2010H2 Zasavska";"2010H2 Posavska";"2010H2 Jugovzhodna Slovenija";"2010H2 Osrednjeslovenska";"2010H2 Gorenjska";"2010H2 Primorsko-notranjska";"2010H2 Goriška";"2010H2 Obalno-kraška";"2011H1 SLOVENIJA";"2011H1 Pomurska";"2011H1 Podravska";"2011H1 Koroška";"2011H1 Savinjska";"2011H1 Zasavska";"2011H1 Posavska";"2011H1 Jugovzhodna Slovenija";"2011H1 Osrednjeslovenska";"2011H1 Gorenjska";"2011H1 Primorsko-notranjska";"2011H1 Goriška";"2011H1 Obalno-kraška";"2011H2 SLOVENIJA";"2011H2 Pomurska";"2011H2 Podravska";"2011H2 Koroška";"2011H2 Savinjska";"2011H2 Zasavska";"2011H2 Posavska";"2011H2 Jugovzhodna Slovenija";"2011H2 Osrednjeslovenska";"2011H2 Gorenjska";"2011H2 Primorsko-notranjska";"2011H2 Goriška";"2011H2 Obalno-kraška";"2012H1 SLOVENIJA";"2012H1 Pomurska";"2012H1 Podravska";"2012H1 Koroška";"2012H1 Savinjska";"2012H1 Zasavska";"2012H1 Posavska";"2012H1 Jugovzhodna Slovenija";"2012H1 Osrednjeslovenska";"2012H1 Gorenjska";"2012H1 Primorsko-notranjska";"2012H1 Goriška";"2012H1 Obalno-kraška";"2012H2 SLOVENIJA";"2012H2 Pomurska";"2012H2 Podravska";"2012H2 Koroška";"2012H2 Savinjska";"2012H2 Zasavska";"2012H2 Posavska";"2012H2 Jugovzhodna Slovenija";"2012H2 Osrednjeslovenska";"2012H2 Gorenjska";"2012H2 Primorsko-notranjska";"2012H2 Goriška";"2012H2 Obalno-kraška";"2013H1 SLOVENIJA";"2013H1 Pomurska";"2013H1 Podravska";"2013H1 Koroška";"2013H1 Savinjska";"2013H1 Zasavska";"2013H1 Posavska";"2013H1 Jugovzhodna Slovenija";"2013H1 Osrednjeslovenska";"2013H1 Gorenjska";"2013H1 Primorsko-notranjska";"2013H1 Goriška";"2013H1 Obalno-kraška";"2013H2 SLOVENIJA";"2013H2 Pomurska";"2013H2 Podravska";"2013H2 Koroška";"2013H2 Savinjska";"2013H2 Zasavska";"2013H2 Posavska";"2013H2 Jugovzhodna Slovenija";"2013H2 Osrednjeslovenska";"2013H2 Gorenjska";"2013H2 Primorsko-notranjska";"2013H2 Goriška";"2013H2 Obalno-kraška";"2014H1 SLOVENIJA";"2014H1 Pomurska";"2014H1 Podravska";"2014H1 Koroška";"2014H1 Savinjska";"2014H1 Zasavska";"2014H1 Posavska";"2014H1 Jugovzhodna Slovenija";"2014H1 Osrednjeslovenska";"2014H1 Gorenjska";"2014H1 Primorsko-notranjska";"2014H1 Goriška";"2014H1 Obalno-kraška";"2014H2 SLOVENIJA";"2014H2 Pomurska";"2014H2 Podravska";"2014H2 Koroška";"2014H2 Savinjska";"2014H2 Zasavska";"2014H2 Posavska";"2014H2 Jugovzhodna Slovenija";"2014H2 Osrednjeslovenska";"2014H2 Gorenjska";"2014H2 Primorsko-notranjska";"2014H2 Goriška";"2014H2 Obalno-kraška";"2015H1 SLOVENIJA";"2015H1 Pomurska";"2015H1 Podravska";"2015H1 Koroška";"2015H1 Savinjska";"2015H1 Zasavska";"2015H1 Posavska";"2015H1 Jugovzhodna Slovenija";"2015H1 Osrednjeslovenska";"2015H1 Gorenjska";"2015H1 Primorsko-notranjska";"2015H1 Goriška";"2015H1 Obalno-kraška";"2015H2 SLOVENIJA";"2015H2 Pomurska";"2015H2 Podravska";"2015H2 Koroška";"2015H2 Savinjska";"2015H2 Zasavska";"2015H2 Posavska";"2015H2 Jugovzhodna Slovenija";"2015H2 Osrednjeslovenska";"2015H2 Gorenjska";"2015H2 Primorsko-notranjska";"2015H2 Goriška";"2015H2 Obalno-kraška";"2016H1 SLOVENIJA";"2016H1 Pomurska";"2016H1 Podravska";"2016H1 Koroška";"2016H1 Savinjska";"2016H1 Zasavska";"2016H1 Posavska";"2016H1 Jugovzhodna Slovenija";"2016H1 Osrednjeslovenska";"2016H1 Gorenjska";"2016H1 Primorsko-notranjska";"2016H1 Goriška";"2016H1 Obalno-kraška";"2016H2 SLOVENIJA";"2016H2 Pomurska";"2016H2 Podravska";"2016H2 Koroška";"2016H2 Savinjska";"2016H2 Zasavska";"2016H2 Posavska";"2016H2 Jugovzhodna Slovenija";"2016H2 Osrednjeslovenska";"2016H2 Gorenjska";"2016H2 Primorsko-notranjska";"2016H2 Goriška";"2016H2 Obalno-kraška";"2017H1 SLOVENIJA";"2017H1 Pomurska";"2017H1 Podravska";"2017H1 Koroška";"2017H1 Savinjska";"2017H1 Zasavska";"2017H1 Posavska";"2017H1 Jugovzhodna Slovenija";"2017H1 Osrednjeslovenska";"2017H1 Gorenjska";"2017H1 Primorsko-notranjska";"2017H1 Goriška";"2017H1 Obalno-kraška";"2017H2 SLOVENIJA";"2017H2 Pomurska";"2017H2 Podravska";"2017H2 Koroška";"2017H2 Savinjska";"2017H2 Zasavska";"2017H2 Posavska";"2017H2 Jugovzhodna Slovenija";"2017H2 Osrednjeslovenska";"2017H2 Gorenjska";"2017H2 Primorsko-notranjska";"2017H2 Goriška";"2017H2 Obalno-kraška";"2018H1 SLOVENIJA";"2018H1 Pomurska";"2018H1 Podravska";"2018H1 Koroška";"2018H1 Savinjska";"2018H1 Zasavska";"2018H1 Posavska";"2018H1 Jugovzhodna Slovenija";"2018H1 Osrednjeslovenska";"2018H1 Gorenjska";"2018H1 Primorsko-notranjska";"2018H1 Goriška";"2018H1 Obalno-kraška";"2018H2 SLOVENIJA";"2018H2 Pomurska";"2018H2 Podravska";"2018H2 Koroška";"2018H2 Savinjska";"2018H2 Zasavska";"2018H2 Posavska";"2018H2 Jugovzhodna Slovenija";"2018H2 Osrednjeslovenska";"2018H2 Gorenjska";"2018H2 Primorsko-notranjska";"2018H2 Goriška";"2018H2 Obalno-kraška";"2019H1 SLOVENIJA";"2019H1 Pomurska";"2019H1 Podravska";"2019H1 Koroška";"2019H1 Savinjska";"2019H1 Zasavska";"2019H1 Posavska";"2019H1 Jugovzhodna Slovenija";"2019H1 Osrednjeslovenska";"2019H1 Gorenjska";"2019H1 Primorsko-notranjska";"2019H1 Goriška";"2019H1 Obalno-kraška";"2019H2 SLOVENIJA";"2019H2 Pomurska";"2019H2 Podravska";"2019H2 Koroška";"2019H2 Savinjska";"2019H2 Zasavska";"2019H2 Posavska";"2019H2 Jugovzhodna Slovenija";"2019H2 Osrednjeslovenska";"2019H2 Gorenjska";"2019H2 Primorsko-notranjska";"2019H2 Goriška";"2019H2 Obalno-kraška";"2020H1 SLOVENIJA";"2020H1 Pomurska";"2020H1 Podravska";"2020H1 Koroška";"2020H1 Savinjska";"2020H1 Zasavska";"2020H1 Posavska";"2020H1 Jugovzhodna Slovenija";"2020H1 Osrednjeslovenska";"2020H1 Gorenjska";"2020H1 Primorsko-notranjska";"2020H1 Goriška";"2020H1 Obalno-kraška";"2020H2 SLOVENIJA";"2020H2 Pomurska";"2020H2 Podravska";"2020H2 Koroška";"2020H2 Savinjska";"2020H2 Zasavska";"2020H2 Posavska";"2020H2 Jugovzhodna Slovenija";"2020H2 Osrednjeslovenska";"2020H2 Gorenjska";"2020H2 Primorsko-notranjska";"2020H2 Goriška";"2020H2 Obalno-kraška"
"Moški";"Starost - SKUPAJ";1003945;58215;158999;36388;129118;21813;35019;70931;254639;99514;26007;59121;54181;1011767;58224;159584;36563;129772;21878;35164;71542;258009;100057;26375;59585;55014;1014107;58198;159622;36551;129967;21893;35218;71612;259613;100247;26342;59588;55256;1014716;58096;159409;36499;129760;21763;35214;71755;260629;100344;26372;59559;55316;1014563;58065;159406;36401;129441;21637;35190;71780;260947;100481;26392;59561;55262;1015430;58097;159269;36433;129680;21619;35135;71780;261420;100637;26443;59544;55373;1016731;58078;159663;36313;129791;21513;35215;71765;262171;100810;26425;59514;55473;1017414;57916;159525;36255;129969;21431;35259;71776;262946;100875;26432;59459;55571;1019061;57805;159869;36205;129929;21340;35317;71641;264572;100842;26405;59367;55769;1019658;57624;159897;36112;130139;21234;35353;71663;265100;100829;26499;59390;55818;1020874;57444;160285;35947;130054;21086;35295;71730;266616;100895;26444;59156;55922;1021419;57421;160248;35854;130030;20961;35275;71674;267408;100933;26500;59154;55961;1022229;57345;160426;35836;127110;28385;38045;71737;260881;100930;26551;59055;55928;1022554;57283;160172;35755;127134;28340;38076;71733;261490;100971;26557;59102;55941;1023333;57127;160228;35657;127250;28290;38116;71842;262344;100962;26541;59018;55958;1023872;56939;159690;35623;127598;28324;38084;71971;263149;100881;26624;58970;56019;1025125;56780;160047;35494;127753;28277;37958;72044;264118;100955;26637;58896;56166;1025973;56744;159863;35506;128008;28269;37888;72042;264880;100941;26575;58898;56359;1027041;56509;160451;35419;127926;28183;37928;72067;265937;101018;26470;58708;56425;1030234;56490;160698;35508;128614;28201;38001;72650;267071;101124;26461;58858;56558;1038656;56413;162310;35643;129378;28220;38232;73148;270293;102013;26666;59159;57181;1045835;56560;163185;35759;130183;28306;38454;73715;272702;102868;26910;59568;57625;1051066;56535;164112;35828;130607;28417;38496;74239;274753;103616;26987;59676;57800;1054483;56689;164859;35871;130970;28474;38546;74467;275024;104300;27185;59865;58233
"Ženske";"Starost - SKUPAJ";1028417;61322;163901;36093;129727;22937;34881;70235;267326;102265;25721;59412;54597;1030568;61467;163526;36276;129969;22862;34927;70393;268627;102413;25788;59470;54850;1032869;61350;163721;36261;130058;22813;34974;70480;270033;102656;25875;59492;55156;1034545;61253;163540;36214;130279;22720;34978;70653;271182;102848;25884;59567;55427;1035626;61080;163713;36093;130285;22585;34977;70703;272266;102946;25895;59585;55498;1037066;61049;163574;36088;130413;22487;34951;70774;273387;103066;25976;59619;55682;1038765;60910;163871;36051;130462;22413;34949;70915;274313;103247;25962;59722;55950;1038848;60657;163501;36012;130576;22344;34956;70973;274766;103295;25991;59771;56006;1039760;60217;163369;35895;130288;22162;34894;70868;277146;103142;25977;59635;56167;1039456;60051;162851;35833;130340;22107;34891;70942;277347;103097;26032;59629;56336;1040211;59689;163043;35599;129799;21897;34663;70675;279698;102999;26005;59218;56926;1040204;59584;162786;35536;129905;21863;34719;70563;280322;102961;26017;59181;56767;1040645;59325;162930;35467;126865;29326;37574;70636;273637;102920;25987;59133;56845;1040523;59151;162373;35463;127103;29227;37651;70623;273885;102958;25994;59094;57001;1040855;58951;162325;35383;127068;29114;37595;70724;274679;102876;25982;59046;57112;1040369;58879;161803;35387;127226;29142;37610;70701;274744;102773;25969;58961;57174;1040770;58697;161996;35267;127008;29003;37586;70667;275554;102845;25945;58851;57351;1040188;58560;161557;35311;127110;28988;37534;70700;275489;102764;25972;58816;57387;1039839;58267;161607;35131;126834;28878;37431;70752;276369;102618;25864;58552;57536;1039816;58159;161262;35095;127089;28849;37417;70732;276893;102444;25854;58495;57527;1042252;57874;161794;34945;126981;28742;37327;70884;278878;102657;25878;58457;57835;1043475;57836;161690;34924;127242;28753;37353;70973;279519;102849;25908;58440;57988;1044795;57703;161882;34927;127240;28739;37328;71118;280521;103005;25854;58365;58113;1045643;57708;161651;34964;127375;28674;37437;71392;279799;103542;25907;58556;58638
